"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus7265",0.0417,0,0,0,0,0.0417,0.1111,0,0,0.05,0,0,0,0.0833,0.0556,0,0.0625,0.0556,0,0,0,0,0.0455,0.0417
"locus7266",0.0417,0,0.05,0,0,0.125,0.0556,0.0455,0.0625,0,0.0625,0.1667,0,0.0833,0,0,0,0.1111,0.1667,0,0.1,0,0,0.0833
"locus7267",0,0.0625,0.25,0,0,0,0,0.2273,0.0625,0,0.0625,0.1111,0.1875,0.125,0,0,0.25,0,0,0,0,0.05,0.0455,0.0417
"locus7268",0.0417,0,0,0.0909,0,0.0833,0,0,0,0,0,0,0.125,0.0417,0.0556,0,0.0625,0.0556,0,0.2778,0.05,0.05,0.0909,0.0417
"locus7269",0.125,0,0,0.1818,0,0,0,0,0,0,0.0625,0,0.0625,0.0417,0,0,0,0,0,0.1111,0.2,0.05,0,0
"locus7270",0,0,0.05,0,0,0,0.1111,0.0455,0,0.05,0,0,0,0.0417,0,0,0.125,0,0.25,0,0,0.05,0,0
"locus7271",0.0417,0,0.25,0,0,0,0.1111,0.0455,0,0,0.0625,0,0,0.0833,0,0,0.0625,0.1111,0,0,0,0.1,0,0
"locus7272",0,0,0,0,0.2857,0,0.0556,0,0,0.2,0,0.1111,0,0,0,0,0,0,0,0,0.3,0,0.0455,0.0417
"locus7273",0.125,0,0.05,0,0.0714,0,0.0556,0.1364,0,0,0.0625,0,0.125,0.0417,0.1111,0.1667,0.1875,0,0,0.2222,0.1,0.15,0.0909,0.0417
"locus7274",0,0.4375,0,0.0455,0.0714,0.25,0.1667,0.0455,0.1875,0.4,0,0.3889,0,0.0417,0,0,0,0.0556,0,0,0.05,0.05,0,0.125
"locus7275",0.0417,0,0.05,0,0,0.125,0,0.0455,0,0,0.125,0,0,0,0,0.3333,0.125,0,0.0833,0,0.1,0,0,0
"locus7276",0.0417,0.1875,0,0.1364,0.0714,0.1667,0.0556,0.2273,0.1875,0.05,0.0625,0,0,0.125,0.0556,0,0,0.1111,0.0833,0.0556,0.1,0.1,0.0455,0
"locus7277",0.0417,0,0,0,0,0,0.2222,0,0.0625,0,0,0,0,0,0,0,0,0,0.0833,0.0556,0.05,0.1,0,0.0833
"locus7278",0.5,0.3125,0.45,0.4545,0,0.375,0.2778,0.4091,0.4375,0.1,0.25,0.2222,0.5,0.4167,0.0556,0.3333,0.4375,0.3889,0.3333,0.3333,0.35,0.5,0.3182,0.25
"locus7279",0,0.1875,0.45,0.0909,0.3571,0.25,0.4444,0.3182,0,0.2,0.0625,0.1111,0.1875,0.25,0,0,0.375,0,0.0833,0,0,0.25,0.1364,0.3333
"locus7280",0.0417,0.0625,0,0.0455,0,0.0417,0,0.0455,0,0.25,0.0625,0,0,0.0417,0,0.1667,0.0625,0,0,0.1111,0,0.05,0.0455,0
"locus7281",0.0417,0.3125,0.1,0,0.5,0.4583,0.1111,0.0909,0.125,0.35,0.125,0.5,0.0625,0.2083,0.0556,0,0.125,0,0.0833,0.0556,0.05,0.25,0.0455,0
"locus7282",0.1667,0.1875,0.15,0,0.2143,0.0417,0.0556,0,0.1875,0.05,0.0625,0,0,0.0417,0,0,0.0625,0,0.0833,0,0,0,0,0
"locus7283",0.375,0.375,0.3,0.2727,0,0.1667,0.3889,0.5,0.4375,0.1,0.4375,0,0.375,0.4167,0.2778,0.1667,0.3125,0.2222,0.4167,0.3333,0.4,0.45,0.4091,0.375
"locus7284",0.2083,0.1875,0.25,0.0455,0.2143,0.2083,0.3889,0.2727,0.0625,0.1,0.1875,0.0556,0.4375,0.25,0.1667,0.3333,0.4375,0.2778,0.3333,0.1111,0.15,0.3,0.3182,0.5
"locus7285",0,0.125,0.15,0,0,0,0.2778,0.0909,0,0,0,0,0.125,0,0,0,0.1875,0.1667,0,0,0,0.15,0.2273,0.0833
"locus7286",0.0833,0.125,0,0.0909,0.2857,0.25,0.2222,0.1364,0,0.45,0.0625,0.3333,0.3125,0.25,0.1667,0,0.0625,0.0556,0.0833,0.0556,0.15,0.15,0.0909,0.2917
"locus7287",0,0.0625,0.05,0.0909,0.2857,0.4167,0.3889,0,0.0625,0.35,0,0.1667,0,0.0833,0.0556,0,0,0,0.1667,0.1667,0.15,0,0.0909,0.4167
"locus7288",0,0.0625,0,0.1818,0.0714,0.1667,0,0.0455,0.0625,0.3,0,0.2778,0,0,0,0,0,0.0556,0,0,0.1,0,0.0455,0.0417
"locus7289",0.3333,0.3125,0.35,0.3182,0.4286,0.4583,0.5,0.3636,0.1875,0.45,0.4375,0.3333,0.25,0.4583,0.2222,0.5,0.375,0.5,0.25,0,0.1,0.3,0.1364,0.4583
"locus7290",0.2917,0.4375,0.4,0.4091,0.2857,0.4167,0.2778,0.4545,0.1875,0.45,0.125,0.3333,0.4375,0.4167,0.3333,0.3333,0.4375,0.4444,0.25,0.4444,0.15,0.5,0.3636,0.25
"locus7291",0.4583,0.4375,0.4,0.5,0.1429,0.4583,0.0556,0.5,0.3125,0.05,0.4375,0.1111,0.5,0.4167,0.3889,0.5,0.5,0.3889,0.3333,0.2778,0.4,0.4,0.4091,0.1667
"locus7292",0.0417,0.125,0.05,0,0,0.1667,0,0,0,0.05,0,0.0556,0.0625,0.125,0,0,0,0,0,0,0.05,0,0,0
"locus7293",0.0833,0,0.1,0,0,0,0,0.0455,0,0,0.0625,0.1111,0,0.0417,0.1111,0,0.0625,0.1111,0,0,0,0.05,0.0909,0
"locus7294",0,0.125,0,0.0455,0,0.2917,0,0,0.1875,0.4,0,0.3889,0.0625,0.0833,0.0556,0,0.0625,0,0,0,0,0.05,0.3636,0.0833
"locus7295",0,0,0,0,0.2857,0,0.1111,0.0455,0,0.05,0,0,0.125,0.0833,0.0556,0,0,0,0.0833,0,0,0.1,0,0.25
"locus7296",0.125,0,0.05,0,0,0.0833,0.1111,0,0,0.05,0,0,0,0.125,0.1111,0,0.0625,0.1111,0,0,0.05,0.05,0.0455,0
"locus7297",0.0833,0,0,0.0909,0,0,0,0,0,0,0.1875,0,0,0.125,0,0.3333,0,0,0.0833,0.0556,0,0.05,0.0909,0
"locus7298",0.0417,0.125,0.05,0.0909,0.1429,0.125,0,0,0,0.1,0.0625,0,0,0,0,0,0,0,0,0,0.2,0,0.2273,0.0833
"locus7299",0.0417,0,0,0,0,0,0,0.0909,0,0,0,0,0.0625,0.125,0,0,0,0.0556,0,0.0556,0.2,0,0.0909,0
"locus7300",0,0,0,0.0455,0.1429,0.0417,0.0556,0.0909,0,0.45,0.0625,0.2778,0,0,0,0,0,0,0,0.2222,0,0,0.0909,0.0417
"locus7301",0.2083,0.0625,0.05,0,0,0,0,0,0,0,0.0625,0.1111,0.0625,0,0,0.1667,0,0,0,0,0.25,0.1,0.0455,0
"locus7302",0.0417,0.4375,0.45,0,0.1429,0.25,0.2778,0.4091,0.125,0.45,0.1875,0.3333,0.3125,0.4583,0,0.1667,0.4375,0.3333,0.25,0.0556,0.05,0.35,0.1364,0.0417
"locus7303",0,0.0625,0,0,0,0,0,0,0.125,0.15,0,0,0,0.0417,0.0556,0.1667,0,0,0.25,0,0,0,0,0.0417
"locus7304",0.0417,0.0625,0.1,0.0455,0,0,0,0.0455,0,0,0,0.0556,0,0,0.1667,0,0.125,0.0556,0,0.1667,0.05,0,0,0
"locus7305",0.0417,0.0625,0.2,0.0455,0,0.125,0.1667,0,0,0.1,0.0625,0,0.125,0.2083,0,0,0.0625,0.1111,0.1667,0,0,0.05,0,0.0833
"locus7306",0.0417,0.4375,0,0,0.3571,0.4167,0.0556,0,0.0625,0.5,0.0625,0.3333,0,0.0833,0,0.1667,0.0625,0.0556,0,0.0556,0,0,0.0455,0.0417
"locus7307",0.25,0.0625,0.15,0.1818,0.2857,0,0.2778,0.2727,0.1875,0.25,0.1875,0.0556,0.3125,0.3333,0.3889,0.3333,0.125,0.3333,0.3333,0,0.3,0.1,0,0.2083
"locus7308",0.0833,0,0,0.1364,0,0,0.0556,0,0,0,0.1875,0,0.1875,0.125,0.1111,0,0,0,0,0.0556,0.1,0.1,0.0455,0.125
"locus7309",0,0.0625,0,0.0455,0.1429,0.125,0,0,0.0625,0.1,0,0.2778,0,0,0,0,0.125,0,0,0,0,0.05,0,0.0417
"locus7310",0.2083,0,0.05,0,0,0.0833,0,0,0,0,0,0.0556,0,0.0417,0.1667,0,0,0.0556,0,0.2222,0.1,0,0.3182,0
"locus7311",0.0417,0,0,0.0455,0,0.0417,0,0,0.25,0,0.0625,0,0.125,0.0417,0,0,0,0.0556,0,0,0.05,0,0,0
"locus7312",0,0,0.1,0.0909,0.0714,0.0833,0,0,0.125,0.05,0,0,0,0.0833,0,0,0.0625,0,0,0,0,0,0,0.0417
"locus7313",0.2083,0.1875,0.4,0.4545,0,0.25,0.1111,0.2727,0.4375,0,0,0,0.0625,0.2917,0.3889,0,0.0625,0.3333,0.0833,0.0556,0.2,0.35,0.1364,0
"locus7314",0.0417,0.125,0,0.1364,0.0714,0.1667,0.1111,0,0.0625,0,0,0,0.125,0,0.0556,0,0.0625,0.0556,0.1667,0.2222,0.15,0,0.0909,0.0417
"locus7315",0.0417,0.125,0,0.0455,0,0.125,0,0,0,0.1,0.0625,0.1111,0.1875,0.2917,0.1111,0.1667,0.1875,0.1111,0.0833,0.1111,0.15,0.15,0.0455,0.0417
"locus7316",0.0417,0.125,0.1,0,0,0,0,0.1364,0.0625,0,0.0625,0,0.0625,0.0417,0,0,0.0625,0.0556,0,0.1667,0,0.1,0.0909,0.0417
"locus7317",0,0,0.05,0,0,0,0.0556,0,0,0,0,0,0,0.25,0,0,0,0,0.0833,0,0,0,0,0.2083
"locus7318",0.375,0.375,0.3,0.3636,0.2143,0.3333,0.4444,0.3636,0.5,0.3,0.375,0.4444,0.375,0.375,0.3889,0.1667,0.1875,0.3889,0.25,0.0556,0.1,0.4,0.4091,0.3333
"locus7319",0.0417,0.5,0.25,0.0455,0.4286,0.2083,0.3889,0.3182,0.0625,0.3,0.3125,0.2222,0.4375,0.2917,0.1111,0.1667,0.1875,0.2222,0.4167,0.0556,0.2,0.2,0.2727,0.5
"locus7320",0.0833,0.0625,0.05,0,0.0714,0,0,0.0455,0,0.1,0,0,0,0.0417,0.0556,0,0,0.0556,0,0.0556,0,0,0.0455,0
"locus7321",0,0.0625,0,0.0455,0.1429,0.25,0.1111,0,0.125,0.2,0,0.3333,0,0.0833,0,0,0,0,0,0,0,0,0.1364,0.125
"locus7322",0,0,0,0.0909,0,0,0.1111,0.0455,0,0.1,0.0625,0.1111,0,0.0833,0,0,0,0.0556,0,0,0,0,0.0455,0.0417
"locus7323",0,0.0625,0,0,0.0714,0.1667,0,0.0455,0,0.15,0,0.3889,0,0,0,0,0.0625,0.0556,0,0,0,0,0.0909,0
"locus7324",0,0.0625,0.5,0,0.0714,0,0.2222,0.1364,0,0.05,0.1875,0,0.125,0.25,0,0,0.125,0.1111,0.0833,0,0.05,0.4,0.0909,0
"locus7325",0.0833,0,0,0.1364,0,0.0417,0,0.0909,0,0.1,0,0.0556,0,0.0417,0.0556,0,0,0,0,0.0556,0.05,0.05,0.0455,0
"locus7326",0.0417,0.0625,0.05,0,0,0,0,0.1364,0.0625,0,0,0,0,0.0417,0,0.1667,0.0625,0,0,0.0556,0,0,0,0
"locus7327",0.1667,0.25,0.4,0.4545,0.4286,0.3333,0.2778,0.3636,0.0625,0.25,0.4375,0.3889,0.5,0.2917,0.2222,0.3333,0.375,0.2778,0.3333,0.1667,0.25,0.35,0.1818,0.375
"locus7328",0,0,0,0,0,0.0417,0.2222,0,0,0,0,0.1111,0.0625,0.0417,0,0,0,0.1111,0.0833,0.0556,0.05,0,0,0.0417
"locus7329",0.3333,0.0625,0.1,0.2727,0.0714,0.0417,0.2778,0.0455,0.0625,0,0.1875,0,0.0625,0.0833,0.2222,0,0,0.2222,0,0.0556,0.3,0.05,0.2727,0
"locus7330",0.0417,0,0.05,0,0,0.0417,0,0.0909,0,0,0,0,0.0625,0.125,0.0556,0,0.1875,0,0.0833,0,0,0.1,0.0455,0
"locus7331",0.0417,0,0.4,0.0455,0,0,0.0556,0.1364,0.125,0.05,0.1875,0,0.1875,0.2917,0.1111,0,0.3125,0.2222,0,0,0.05,0.15,0.1364,0.125
"locus7332",0.1667,0.375,0.5,0.3636,0.3571,0.3333,0.3889,0.4091,0.125,0.25,0.4375,0.3889,0.5,0.4167,0.2778,0.5,0.3125,0.3889,0.4167,0.3889,0.25,0.35,0.4545,0.2917
"locus7333",0,0.0625,0.1,0,0,0.125,0,0.0455,0,0,0.0625,0,0,0.0833,0,0,0,0,0,0,0,0.05,0.0909,0
"locus7334",0.0417,0.0625,0.05,0.1364,0,0.0833,0.2222,0,0,0,0.1875,0,0,0.0417,0,0.1667,0.0625,0.0556,0.0833,0,0,0.1,0,0.0417
"locus7335",0,0,0,0,0.0714,0,0,0,0,0,0.0625,0,0,0.0417,0,0,0,0,0,0,0.05,0.1,0.2273,0
"locus7336",0.2083,0.125,0.3,0.2273,0,0.125,0.0556,0.4091,0.3125,0.1,0.4375,0,0.3125,0.375,0.3889,0.3333,0.4375,0.5,0.3333,0.3889,0.25,0.5,0.1364,0.0417
"locus7337",0.25,0.0625,0.15,0.2727,0.0714,0.0417,0.5,0.0455,0,0.05,0.1875,0.0556,0.1875,0.1667,0.2778,0,0,0,0.3333,0.5,0.45,0.15,0.0909,0.4167
"locus7338",0.125,0.25,0.15,0.1364,0.3571,0.1667,0.1111,0.1818,0.25,0.3,0.375,0.2222,0.25,0.375,0.1667,0.3333,0.375,0.1111,0.25,0.1667,0.2,0.45,0.4545,0.25
"locus7339",0.125,0.25,0.1,0.0909,0.4286,0.4583,0.3333,0.0455,0.375,0.2,0.4375,0.2778,0.0625,0.2083,0.0556,0,0.1875,0.2778,0.4167,0.0556,0.05,0,0.3636,0.3333
"locus7340",0,0.125,0.05,0.1364,0.2143,0.1667,0.0556,0,0.125,0.35,0,0.1667,0.0625,0,0,0,0.0625,0,0.0833,0,0.05,0.05,0.0455,0.125
"locus7341",0,0.125,0,0,0.1429,0.125,0.2222,0,0.0625,0,0.0625,0.0556,0.0625,0.0417,0,0,0,0.1111,0.1667,0.0556,0,0,0.0455,0.2083
"locus7342",0,0.0625,0,0,0.1429,0,0,0,0,0.3,0,0.1111,0,0,0,0,0,0,0,0,0,0,0.1364,0
"locus7343",0,0.125,0.1,0.0909,0.2143,0.125,0.2778,0,0.0625,0.05,0.125,0.0556,0.125,0.2083,0.0556,0.3333,0.0625,0,0.3333,0.0556,0.1,0,0.0909,0.4167
"locus7344",0.2083,0.1875,0.35,0.2727,0.0714,0.0417,0.0556,0.2273,0.25,0.2,0.0625,0,0.25,0.2917,0.3889,0.3333,0.3125,0.3889,0.0833,0,0.1,0.25,0.2273,0.0417
"locus7345",0.375,0,0.1,0.3182,0.1429,0.2083,0,0.1818,0.0625,0.05,0.1875,0,0.3125,0.0833,0.2222,0.3333,0.125,0.0556,0,0.3889,0.1,0.25,0.4545,0
"locus7346",0,0,0,0,0,0,0.1111,0,0,0.05,0.25,0,0,0.0833,0,0,0.0625,0,0.25,0.0556,0,0,0.0455,0.2083
"locus7347",0.1667,0.0625,0,0.0455,0,0,0,0.1364,0.0625,0,0.125,0.1111,0.0625,0.125,0.3333,0,0,0.1111,0,0.5,0,0.15,0.0455,0
"locus7348",0.125,0.375,0.05,0.0909,0.3571,0.2917,0.3889,0.0909,0.125,0.4,0,0.1111,0.1875,0.1667,0,0,0.25,0.0556,0.25,0.1111,0.1,0.1,0.2273,0.3333
"locus7349",0,0.375,0,0,0.3571,0.2917,0.0556,0,0,0.5,0.0625,0.4444,0.0625,0,0,0,0,0,0,0,0,0,0.0455,0.0417
"locus7350",0.2083,0,0,0.0455,0,0,0,0,0.0625,0,0,0,0,0,0.3889,0,0,0,0,0.5,0.35,0.1,0.3182,0
"locus7351",0.0833,0.375,0.3,0.0909,0.4286,0.2083,0.2778,0.3182,0.4375,0.5,0,0.4444,0.375,0.3333,0,0,0.3125,0.2778,0.0833,0,0.1,0.3,0.1364,0.0833
"locus7352",0.0417,0.125,0.1,0,0.0714,0.0417,0.0556,0,0.375,0.05,0.0625,0,0.0625,0,0.1111,0,0.1875,0,0,0.4444,0,0.05,0,0.125
"locus7353",0.125,0.0625,0,0.0909,0.0714,0,0,0.1364,0,0,0.0625,0,0,0,0.2778,0,0.0625,0.1111,0,0,0.2,0.05,0.0455,0
"locus7354",0.3333,0.375,0.1,0.4091,0.3571,0.4583,0.3333,0.4545,0.1875,0.45,0.3125,0.2778,0.3125,0.4583,0.4444,0.5,0.3125,0.1667,0.3333,0.3889,0.45,0.45,0.2727,0.375
"locus7355",0.25,0.0625,0.1,0.0455,0,0,0.0556,0.1818,0.125,0,0,0,0.125,0.0417,0.4444,0.3333,0,0.1667,0.0833,0.2222,0.3,0.15,0.0455,0
"locus7356",0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0.0417,0,0,0,0,0,0.4444,0,0,0.0455,0
"locus7357",0.0417,0.1875,0,0,0.0714,0.1667,0.0556,0,0,0.25,0,0.1667,0,0,0,0,0,0,0.0833,0,0,0,0.0455,0
"locus7358",0.0417,0.0625,0.15,0.2273,0.0714,0.1667,0.1667,0.0909,0,0.1,0.3125,0.1111,0.0625,0.2083,0,0,0.0625,0.0556,0.1667,0,0,0.05,0.1364,0.0417
"locus7359",0,0.0625,0.05,0,0,0,0,0.0455,0.0625,0.05,0.0625,0,0,0.0417,0,0,0.0625,0,0.1667,0,0,0,0,0.0417
"locus7360",0.0833,0,0.05,0,0,0.0417,0.0556,0.0909,0.125,0,0.125,0,0.125,0.125,0.1667,0.1667,0.0625,0.1111,0.0833,0,0,0.1,0.0909,0.0417
"locus7361",0,0,0,0.0455,0,0,0,0.1364,0.0625,0.1,0.125,0,0,0,0.0556,0.1667,0.1875,0,0.3333,0,0,0.2,0.1364,0.0833
"locus7362",0,0,0.05,0.0455,0.2143,0,0.2222,0.2273,0.0625,0.2,0.0625,0.1111,0.125,0.1667,0,0,0.25,0,0,0,0.05,0,0.2727,0
"locus7363",0,0.0625,0.05,0,0,0,0,0.1818,0,0,0.125,0,0.25,0.0833,0.0556,0,0.1875,0.2222,0,0,0.05,0.1,0.2273,0.0417
"locus7364",0,0.1875,0.05,0.1364,0.0714,0.375,0,0.0455,0.125,0.4,0.0625,0.1111,0,0.0417,0.2222,0.5,0.0625,0,0.0833,0,0.15,0.2,0.0455,0.0833
"locus7365",0.0417,0,0.35,0.0909,0,0,0,0.5,0.0625,0,0,0,0.4375,0.5,0.2222,0.3333,0.5,0.5,0,0.1111,0,0.45,0.0909,0.0417
"locus7366",0.0833,0.0625,0.1,0.0455,0,0.0417,0.1111,0.0455,0,0,0,0,0,0.1667,0.0556,0.1667,0.125,0,0.0833,0.2222,0.1,0,0.0455,0
"locus7367",0.0833,0,0.05,0.0455,0.2857,0.0833,0.1111,0.1364,0.0625,0.05,0.0625,0.0556,0.25,0.25,0.1111,0,0.125,0.1111,0.1667,0.0556,0.1,0.05,0.1818,0.125
"locus7368",0.4167,0.0625,0.2,0.4091,0.0714,0.0833,0.1667,0.4545,0.3125,0.05,0.125,0.0556,0.1875,0.2917,0.3889,0.1667,0.1875,0.4444,0.1667,0.3333,0.4,0.25,0.4545,0.2083
"locus7369",0.0833,0,0.1,0,0,0.0417,0.0556,0.0909,0.0625,0.05,0.0625,0,0.125,0.0417,0.1667,0,0,0.1667,0,0.0556,0.05,0.2,0,0
"locus7370",0.4167,0.4375,0.45,0.5,0.4286,0.2917,0.4444,0.4545,0.5,0.25,0.3125,0.2778,0.4375,0.4167,0.0556,0.5,0.4375,0.2778,0.4167,0.5,0.35,0.45,0.4545,0.25
"locus7371",0.375,0.1875,0.3,0.2273,0.2857,0.25,0.5,0.2727,0.25,0.2,0.3125,0.1667,0.1875,0.4167,0.3333,0.3333,0.3125,0.4444,0.4167,0.1667,0.2,0.25,0.2273,0.25
"locus7372",0.0417,0.0625,0,0,0.0714,0,0,0.0455,0,0.05,0.0625,0,0,0,0.1667,0,0.0625,0.1111,0.0833,0,0.05,0,0.0909,0
"locus7373",0.0833,0.4375,0.3,0.0455,0.3571,0.25,0.1111,0.3182,0.125,0.35,0.1875,0.4444,0.4375,0.5,0.4444,0.1667,0.25,0.4444,0,0.0556,0.1,0.3,0.2273,0.2083
"locus7374",0.375,0.25,0.05,0.3182,0.3571,0.0833,0.1667,0.1364,0.25,0,0.3125,0.0556,0.0625,0.0417,0.3333,0.3333,0.125,0.3333,0,0.1111,0.3,0,0.2727,0.375
"locus7375",0.0417,0.125,0.05,0,0,0.0417,0.2778,0.3182,0,0,0,0,0,0.2917,0,0.3333,0.1875,0.1111,0.4167,0.0556,0.1,0.1,0,0
"locus7376",0.0833,0.375,0,0,0.2857,0.375,0.1667,0.0455,0.1875,0.45,0,0.4444,0.125,0,0.1667,0.1667,0.0625,0,0,0,0.1,0.2,0.4091,0.0417
"locus7377",0,0.0625,0.1,0,0.2143,0,0.3333,0.0909,0,0.25,0.0625,0.0556,0,0.125,0,0.1667,0.0625,0,0.1667,0,0,0.15,0.0455,0.0417
"locus7378",0,0.0625,0,0.0455,0,0.0417,0,0.1818,0.0625,0,0.0625,0.0556,0,0.0833,0.0556,0,0,0.0556,0,0.2778,0.1,0.1,0,0.125
"locus7379",0.1667,0.375,0.05,0.1818,0.3571,0.4583,0.1667,0.0909,0.3125,0.15,0.0625,0.3333,0.0625,0.0833,0.1111,0.1667,0.125,0.1111,0,0.4444,0.2,0.25,0.2273,0.25
"locus7380",0.0417,0,0,0,0,0.0417,0.2778,0.0455,0,0.2,0,0,0,0.0417,0,0.1667,0,0.1111,0,0.2222,0,0.1,0,0.125
"locus7381",0.2083,0.25,0.4,0.2727,0.4286,0.25,0.3333,0.5,0.5,0,0.4375,0.0556,0.25,0.4167,0.5,0.3333,0.4375,0.4444,0.4167,0.2778,0.25,0.4,0.4091,0.2917
"locus7382",0.0833,0.125,0.05,0.1364,0.2857,0.4583,0.4444,0.1364,0.125,0.15,0.0625,0.4444,0.1875,0.0833,0,0,0.0625,0.1111,0,0.0556,0.05,0.3,0.3182,0.3333
"locus7383",0.125,0.1875,0.25,0.4545,0,0.0833,0,0.3182,0.25,0.05,0.1875,0.1667,0.5,0.4167,0.0556,0.5,0.3125,0.3889,0.3333,0.0556,0.2,0.3,0.1364,0.125
"locus7384",0.2917,0.375,0.45,0.4091,0.4286,0.5,0.4444,0.1818,0.25,0.45,0.25,0.3889,0.4375,0.2917,0.1667,0,0.25,0.4444,0.0833,0.3333,0.35,0.5,0.4545,0.375
"locus7385",0.125,0,0.1,0,0,0,0,0.3182,0,0.05,0,0,0,0.0417,0.3889,0,0.1875,0.0556,0,0.0556,0.05,0.2,0.0909,0
"locus7386",0,0,0.05,0,0,0,0.0556,0.2273,0,0,0.0625,0.0556,0.0625,0.0833,0,0,0.1875,0.0556,0,0,0,0.05,0,0
"locus7387",0.375,0.375,0.35,0.3182,0.4286,0.4167,0.2222,0.3636,0.4375,0.2,0.5,0.2778,0.3125,0.4167,0.3889,0.1667,0.4375,0.2778,0.4167,0.3889,0.35,0.45,0.2273,0.2083
"locus7388",0,0,0,0,0,0,0,0.1818,0.25,0,0,0,0.0625,0,0,0.1667,0,0,0,0,0.05,0.05,0.0455,0
"locus7389",0.125,0,0.05,0.1364,0,0,0,0.1818,0.25,0,0.125,0,0.0625,0.125,0.2778,0.1667,0.25,0.1111,0,0.3333,0.1,0.05,0.0455,0
"locus7390",0,0,0.1,0,0,0,0,0.0455,0,0.05,0,0,0.1875,0.0833,0,0.1667,0.0625,0,0,0,0,0.05,0,0
"locus7391",0.3333,0,0.2,0.4545,0.1429,0.1667,0.1667,0.3182,0.125,0.1,0.25,0,0.125,0.2917,0,0.3333,0.1875,0.2778,0.1667,0.5,0.15,0.3,0.3182,0.0417
"locus7392",0,0,0.05,0.0455,0,0,0.0556,0.0455,0,0,0,0,0.0625,0.0417,0,0,0,0,0.1667,0.0556,0,0.1,0,0
"locus7393",0.2917,0.1875,0,0.3182,0.2143,0.1667,0.1111,0,0,0.1,0.0625,0.0556,0,0,0.1667,0.1667,0.0625,0,0,0.1667,0.25,0,0.1364,0
"locus7394",0,0,0,0,0,0,0,0.2727,0.0625,0,0,0,0.125,0.1667,0,0,0,0,0,0,0,0.1,0,0
"locus7395",0.125,0.1875,0.25,0.1818,0.3571,0.3333,0.2222,0.0909,0.5,0.45,0.3125,0.3889,0.25,0.2917,0,0.1667,0.25,0,0.0833,0,0.3,0.45,0.1364,0.4167
"locus7396",0,0.0625,0.1,0.0455,0.0714,0.0833,0.1111,0.1818,0.125,0.05,0.125,0,0.1875,0.2083,0.0556,0.1667,0.25,0.3333,0.25,0.0556,0.05,0.25,0.0909,0.25
"locus7397",0.4167,0.25,0.3,0.3636,0.4286,0.0833,0.4444,0.3636,0.125,0.1,0.4375,0.1111,0.3125,0.3333,0.2222,0.3333,0.3125,0.4444,0.5,0.3333,0.45,0.45,0.3636,0.4583
"locus7398",0.0833,0,0.05,0,0.1429,0.125,0.1111,0.0455,0.0625,0,0,0.0556,0,0,0.0556,0.1667,0.0625,0.1111,0.0833,0.0556,0.1,0.05,0.0909,0.0833
"locus7399",0,0,0,0.0455,0.0714,0.3333,0,0.0455,0,0.4,0,0.3889,0.0625,0.0833,0.0556,0,0.3125,0,0,0.0556,0,0.05,0,0.0417
"locus7400",0.0417,0,0,0,0.1429,0,0.0556,0,0.125,0,0,0,0.0625,0.0833,0.1111,0,0.0625,0.0556,0.0833,0.1111,0.2,0,0,0
"locus7401",0.0833,0,0.1,0.2273,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.0455,0
"locus7402",0.0417,0.1875,0.2,0,0,0.1667,0.0556,0.1818,0,0,0.0625,0.1111,0.375,0.0833,0.1667,0.3333,0.1875,0.0556,0.0833,0.2778,0.1,0.2,0.0455,0.0417
"locus7403",0,0,0.45,0,0.0714,0,0.3333,0.0909,0.0625,0.1,0,0,0.375,0.25,0,0,0.25,0.2222,0.25,0.0556,0.05,0.2,0.1818,0.0417
"locus7404",0,0,0,0,0,0,0,0.0455,0.1875,0,0,0,0,0,0.1667,0,0.125,0,0,0.0556,0,0.1,0.0455,0
"locus7405",0.0833,0.0625,0.1,0,0,0.0833,0.0556,0.0455,0.125,0,0.0625,0,0.3125,0.0833,0.0556,0,0.3125,0.2778,0.25,0.1667,0.1,0.05,0,0.0417
"locus7406",0.0417,0.0625,0.05,0,0.0714,0,0,0.1364,0.0625,0.35,0,0.1667,0,0,0.0556,0,0.0625,0,0,0,0,0.05,0.0455,0.0833
"locus7407",0.0833,0.4375,0,0,0.5,0.375,0,0.0455,0.125,0.2,0,0.3889,0.0625,0.0833,0.0556,0.1667,0.125,0.1111,0,0,0.05,0.05,0.1364,0.1667
"locus7408",0,0.125,0.1,0.0455,0,0.2917,0,0,0,0.45,0,0.4444,0,0,0,0,0.0625,0,0,0,0,0,0.0455,0
"locus7409",0.25,0,0.1,0.1818,0,0.0833,0.0556,0.1364,0,0.2,0.0625,0,0.3125,0,0.0556,0.3333,0,0.2778,0.0833,0.0556,0.15,0.2,0.0455,0
"locus7410",0,0.0625,0.05,0.0455,0,0.1667,0,0,0.0625,0,0.125,0,0.125,0.0417,0.0556,0,0,0,0,0,0.1,0.15,0,0.0417
"locus7411",0.0417,0,0,0,0.4286,0.0417,0.0556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125
"locus7412",0,0.125,0,0,0,0,0,0,0,0.45,0.0625,0.3889,0,0,0,0.1667,0,0,0,0,0,0,0,0
