"","AS","BA","BB","BC","CA","CR","DA","FC","FV","GB","KC","MC","ML","OF","PC","PM","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus5891",1,1,1,1,0.75,1,1,0.7857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.95,0.75
"locus5892",0.6,0.5625,0.7,1,1,0.6667,0.25,1,0.75,0.5833,0.875,0.9286,0.9375,0.8,0.7083,0.15,0.6667,0.8333,0.9375,0.75,0.875,0.95,0.5556,0.65,0.9,0.5833
"locus5893",0.875,0.9375,1,1,1,1,1,1,0.9091,0.8125,0.9545,1,0.95,1,0.9583,0.9545,1,1,1,0.8889,1,1,1,1,1,1
"locus5894",0.9167,0.9375,0.95,0.9091,1,0.9583,1,1,0.9091,1,0.9545,0.875,0.95,1,0.8636,1,0.9444,1,0.9375,1,1,1,1,0.9,1,1
"locus5895",0.4091,0.8571,0.875,0.8333,1,0.875,0.8,0.7857,0.9545,1,0.8636,1,0.95,0.8333,0.75,0.625,0.5,0.5,0.9,0.9444,0.9167,0.9167,0.5,0.75,0.75,0.9583
"locus5896",1,1,1,1,1,1,1,1,1,1,1,0.9375,1,1,0.9583,0.625,1,1,0.9375,1,1,1,1,1,0.8636,1
"locus5897",0.9583,0.6429,0.8125,0.85,0.8333,0.65,NA,0.8125,0.9375,0.8333,0.45,0.75,0.3889,0.8333,0.8333,0.75,0.9444,1,0.8333,0.8333,0.7857,0.9545,0.75,0.85,1,0.8636
"locus5898",0.9091,1,0.9,0.9545,1,1,1,1,0.9091,0.9375,0.9091,1,0.8,0.9375,0.9583,1,1,1,1,1,1,1,0.7222,0.95,1,1
"locus5899",1,1,0.95,1,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.95,1,1
"locus5900",0.7083,0.9375,0.8,0.7727,0.625,0.8333,1,0.75,0.8182,0.9375,0.9091,0.75,0.9,0.8571,0.8333,1,0.6667,0.8333,0.6875,0.7222,0.9167,0.9545,0.85,0.75,0.8182,0.75
"locus5901",1,0.875,0.85,0.9091,1,0.9583,1,1,1,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.8,1,1
"locus5902",0,0.0625,0.15,0,0.0556,0,0.5,0,0.1364,0,0,0.0625,0,0,0.0417,0,0,0,0.0625,0.1111,0,0,0.1,0.125,0,0
"locus5903",0,0,0,0,0.1111,0.0833,0.2,0,0.0455,0.0625,0,0,0,0,0.0833,0.0455,0,0,0,0,0,0,0,0.2,0.0909,0
"locus5904",1,1,0.95,1,0.9444,0.9583,1,0.9444,1,1,0.65,1,0.9,1,0.9583,1,1,1,0.9375,1,0.9286,1,0.85,1,0.9545,0.9583
"locus5905",0.875,0.9375,0.9444,1,1,0.9583,1,1,1,1,0.9545,1,1,1,1,1,0.7222,1,0.875,1,0.7143,1,1,1,1,1
"locus5906",0.1667,0.4375,0,0.6,0.5,0.625,1,0,0.05,0.5,0.8636,1,1,0.1,0.0455,0.9545,0.4,NA,0.0625,0.2143,0,0,0.1429,0.125,0.0714,0
"locus5907",0.7917,0.5833,0.95,1,0.8889,0.6667,1,0.8889,0.8636,0.7857,0.55,1,0.4167,1,0.9167,1,0.625,0.6667,1,0.9444,1,0.9091,0.85,0.85,0.9,0.8636
"locus5908",0,0.125,0.05,0,0,0.0417,0,0,0.0455,0.0625,0.0455,0,0.05,0.0625,0.0909,0,0.0556,0.1667,0.125,0,0.0714,0.25,0,0,0.0909,0
"locus5909",0.9583,1,1,0.9545,1,1,0,1,0.9091,0.75,0.9545,1,1,0.8125,1,0.0625,0.9444,0.8333,0.9375,1,1,1,0.95,1,0.9091,1
"locus5910",0.1818,0.3571,0.2,0.2273,0.1667,0.3182,0,0.125,0.2,0.25,0.2,0.0714,0.3571,0.3125,0.2917,0.0909,0.1111,0.3333,0.375,0.4444,0.2143,0.3636,0.1429,0.1111,0.1364,0.0909
"locus5911",0.9583,0.5625,0.8,0.7857,0.75,0.5,1,0.9286,0.9545,0.9167,0.375,0.7857,0.3333,0.9375,0.9167,0.9091,1,1,0.875,1,1,0.4444,0.9444,0.7778,1,0.9545
"locus5912",0.9583,0.9375,0.85,0.9545,0.9444,0.875,NA,0.7143,0.8333,0.9167,1,1,1,0.8125,0.875,1,0.8889,1,0.9286,0.6667,0.8571,0.85,1,1,0.9545,0.9583
"locus5913",1,1,0.9,0.8636,1,1,1,0.9444,1,0.9375,1,1,1,1,1,1,1,1,1,0.9444,1,1,1,1,1,0.9545
"locus5914",1,0.75,1,1,1,0.75,1,0.9444,0.9091,1,0.9091,1,1,0.9375,1,1,1,1,0.9375,1,1,1,0.9,0.75,0.6364,0.875
"locus5915",0.9545,0.875,0.8889,0.9545,1,0.9583,1,1,0.95,0.9375,1,1,1,0.9375,0.7917,1,0.9444,0.8333,1,0.9444,1,1,0.9,1,1,1
"locus5916",0.7778,0.7857,0.8333,0.5,1,1,1,1,1,0.7,0.6,0.9286,0.5714,0.9286,0.9167,1,0.875,0.8333,0.9375,0.8333,0.9286,0.625,0.85,0.9286,1,0.9583
"locus5917",0.4545,0.25,0.1667,0.4444,0,0.25,1,0.4167,0.1,0.375,0.25,0.5833,0,0.25,0.2273,0.875,0.375,0.25,0.3125,0.6667,0.25,0.4444,0.35,0.3333,0.5,0.5
"locus5918",1,1,0.8,1,0.9444,1,1,1,1,1,0.9091,0.9375,1,1,1,1,0.9444,1,1,1,1,1,0.7,1,0.9545,0.9583
"locus5919",0.9167,0.875,1,0.9091,1,0.7917,1,1,0.9091,1,0.9545,1,1,0.8125,1,1,1,1,1,1,1,1,1,1,1,1
"locus5920",1,0.9375,1,1,1,1,0.6,0.8889,0.7,0.6667,1,0.9375,1,0.875,1,0.6875,1,1,0.9375,0.5833,1,1,0.9,1,1,1
"locus5921",0.25,0.375,0.25,0.2727,0.3889,0.4167,0,0.6875,0.1364,0.1875,0.55,0.3125,0.5,0.1875,0.1667,0.0455,0,0.1667,0.2143,0.1667,0.5714,0.0455,0.1,0.15,0.3182,0.5
"locus5922",1,0.9375,0.95,0.9545,0.8889,1,1,0.8333,1,1,1,0.9375,1,1,0.9583,1,0.9444,0.8333,1,1,0.9286,1,1,0.9444,1,0.75
"locus5923",1,1,0.95,0.6364,1,0.9167,1,1,0.9545,1,1,1,1,0.9375,0.9167,1,0.9444,1,1,1,1,1,1,0.9,1,1
"locus5924",0.9375,0.6667,0.85,0.6,0.5,0.75,1,0.6667,0.9444,0.8333,0.9444,0.9286,0.8889,0.9,0.9167,1,1,0.8333,0.875,0.8889,0.8,0.5833,0.9286,0.8,1,0.9444
"locus5925",0.125,0,0,0.4,0,0,0,0,0,0,0,0.125,0.05,0,0.0417,0,0.0833,0,0.0625,0,0.1667,0.5,0.1667,0,0.0909,0
"locus5926",1,1,1,1,1,1,1,1,1,0.7143,1,1,1,0.9286,1,1,1,1,0.9375,0.8889,1,1,1,1,1,0.9583
"locus5927",0.6429,1,0.9167,1,1,1,1,1,0.7143,1,1,1,0.95,0.8571,0.75,1,0,1,0.9375,0.8333,1,0.3125,0.8,0.7143,0.75,1
"locus5928",0.0833,0.125,0.1111,0.0455,0,0.0909,0,0.3125,0.0455,0,0,0.0625,0.05,0,0.125,0.0455,0,0.1667,0.0625,0,0.1,0,0.2,0.05,0.0455,0.1364
"locus5929",1,1,0.95,1,1,1,1,1,1,1,1,1,0.85,0.9375,1,1,1,1,1,1,1,0.55,0.95,1,0.9545,1
"locus5930",0.75,0.6667,0.8571,0.8571,0.625,0.6818,1,0.5,0.6667,0.75,0.875,0.8333,0.8,0.75,0.7857,0.7857,0.8,0.5,0.875,1,0.6,0.9286,0.75,0.875,0.7222,0.5625
"locus5931",0.9583,1,0.95,0.9545,0.9444,1,0.75,1,0.9545,1,1,1,0.95,0.9375,1,0.875,0.8889,1,1,1,1,0.95,1,1,0.9545,1
"locus5932",0.4444,0.4286,0.4,0.5,0.2857,0.5,0.5,0.4286,0.25,0.6429,0.4286,0.4286,0.5833,0.25,0.5,0.5,0.5,0.5,0.1429,0.3333,0.3333,0.3182,0.5,0.3333,0.45,0.4583
"locus5933",1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,0.8636,0.7778,1,1,1,1,1,1,0.9,0.9545,1
"locus5934",0.875,1,1,0.7778,1,1,1,1,1,1,1,0.9286,1,1,0.9583,0.9545,1,0.5,1,1,1,0.8125,0.7143,1,1,0.9583
"locus5935",0.7143,0.6875,0.625,0.75,0.6667,0.7273,0.9,0.8125,0.7778,0.6667,0.5,0.375,0.4444,1,0.6667,0.9091,0.7222,0.6667,0.5,0.8571,0.5,0.4444,0.6429,0.5,0.7778,0.5625
"locus5936",0.4,0.8571,0.75,1,1,1,0,1,0.9444,0.4167,1,0.9286,1,1,0.8636,0.0909,0.6429,1,1,0.3125,0.9286,0.75,0.7,0.9,0.7143,0.9583
"locus5937",0.9,0.5833,0.7,0.875,0.4286,0.125,1,0.9167,0.5556,0.8333,0.1667,0.875,0,0.9,0.875,1,0.75,1,1,0.875,NA,0.9545,0.8125,0.8,0.9444,0.75
"locus5938",0.25,0,0.05,0.2,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.25,0,0,0,0.1364,0.2,0,0.0909,0
"locus5939",1,1,1,0.8571,1,1,1,1,0.9444,1,1,1,1,0.9375,0.9167,1,0.7857,1,0.875,0.8889,0.9286,0.75,0.8,0.95,0.8333,1
"locus5940",1,1,1,1,0.9,1,1,0.8125,1,0.9375,0.9545,1,1,1,0.9167,1,1,1,1,1,1,1,1,1,0.9545,0.875
"locus5941",0.1875,0,0,0.2143,0,0,0,0.0556,0,0.0625,0,0.25,0,0,0,0.0909,0.1,0.3333,0,0,0,0.3125,0,0,0.0455,0
"locus5942",0.9583,1,0.9,1,1,1,0.6,1,1,1,0.9545,1,1,1,1,0.9,1,1,1,1,1,1,1,0.95,0.9545,0.9583
"locus5943",0,0.0625,0,0,0.3889,0.0417,0,0,0,0.25,0.0455,0,0,0.0625,0,0,0,0,0.125,0.1875,0,0,0,0,0.3182,0.4167
"locus5944",0.7917,1,0.7143,1,1,1,1,1,0.8333,0.9375,1,0.8125,1,0.8571,0.75,1,0.9444,0.6667,0.875,0.6875,0.9286,1,0.95,0.5625,0.9091,0.9583
"locus5945",0.7778,0.6667,0.5625,0.6429,0.5,0.625,1,0.4286,0.9375,0.25,0.7,0.6667,0.5,0.9375,0.4444,1,0.6667,0.6667,0.7143,0.7143,0.625,0.5,0.75,0.4,0.6667,0.45
"locus5946",0.9091,0.5833,0.9,0,0.7,0.5909,1,0.9286,0.8182,0.9167,0.5909,0.875,0.4375,0.8125,0.55,0.9545,1,1,0.75,1,0.6667,0.6818,0.875,0.625,0.85,0.7857
"locus5947",0.5625,0.5,0.5,0.6,0.5,0.6667,1,0.5556,0.4545,0.8333,0.5556,0.7,0.2857,0.5833,0.5,0.7778,0.5,0.5,0.6429,0.8333,0.4,0.5833,0.5556,0.5625,0.5,0.5
"locus5948",0.3333,0.5,0.1,0.4286,1,0.5556,0.25,0.75,0.3125,0.625,0.4091,0.5833,0.6111,0.3571,0.3333,0.6111,0.25,0.1667,0.3333,0.2143,0.625,0.2778,0.5,0.5,0.5,0.7143
"locus5949",1,0.375,0.1,0.75,0.5,0.35,1,0.75,0.0625,0.875,0.05,0.8571,0.2778,0.4167,0.5,0.9545,1,0.5,0.375,0.5,0.6667,1,0.7857,0.4167,0.6364,0.8
"locus5950",0.2083,0,0,0.0909,0,0.0417,0,0,0.1818,0,0,0,0,0,0.0833,0.0909,0.0556,0,0,0,0,0,0,0,0.1818,0
"locus5951",0.9167,0.8125,1,1,0.9444,0.9167,1,1,0.9545,0.75,1,0.875,0.95,0.9375,1,1,0.9444,1,1,1,1,0.9545,1,0.95,0.9091,1
"locus5952",0.9545,0.9375,1,0.9091,0.8333,0.9583,1,1,1,1,1,1,1,1,1,1,0.6667,1,1,1,1,0.9545,1,0.9,0.8636,1
"locus5953",0.0417,0.1667,0.1111,0,0.25,0.2,0,0.1111,0.0455,0,0.7273,0,0.8333,0.0625,0.125,0,0,0,0,0,0,0,0,0.05,0.0909,0.0455
"locus5954",1,1,0.65,0.9545,1,1,1,1,0.6667,1,1,0.9375,1,0.5625,0.6818,1,1,0.6667,0.6875,0.5,0.7857,0.9545,1,0.75,1,0.9583
"locus5955",1,1,1,0.9545,0.625,0.75,1,0.9444,1,0.9375,0.3636,1,0.55,1,1,1,1,1,0.9375,1,1,1,0.95,1,0.9545,0.9167
"locus5956",0.1667,0.0625,0,0,0,0.0417,0.625,0.1111,0,0,0,0,0,0,0,0.4375,0,0,0.0625,0.1875,0,0.0455,0,0.05,0,0.0417
"locus5957",0.9167,0.9375,1,0.9545,1,0.9583,1,1,0.9091,1,1,0.875,1,0.9375,0.75,1,0.9444,0.6667,0.5625,0.9444,0.8571,1,0.9,0.7778,0.9091,1
"locus5958",1,1,0.85,0.9545,1,1,1,0.9444,0.9545,0.9375,0.9545,0.875,1,1,0.9583,1,1,1,0.875,0.7778,1,1,1,1,1,1
"locus5959",0.3889,0.5,0.4167,0.3333,0.4286,0.2917,0.625,0.3333,0.3571,0.25,0.4091,0.3333,0.375,0.25,0.3333,0.625,0.5,0,0.5,0.3571,0.4286,0.1875,0.1667,0.3333,0.2222,0.45
"locus5960",0.9583,1,0.95,1,0.5,0.7273,1,0.8571,0.9545,1,0.7778,0.875,0.7778,1,0.8636,1,1,1,0.9375,1,0.75,0.9545,1,1,0.8636,0.75
"locus5961",1,1,1,1,0.875,1,1,0.875,1,1,1,1,1,1,1,1,1,1,0.875,1,0.9167,1,1,1,1,0.8
"locus5962",0.8636,1,1,0.8636,1,1,1,1,0.9545,1,1,0.9375,1,1,0.9167,1,0.8889,1,1,1,0.9286,1,0.9,1,1,1
"locus5963",0.0909,0.2,0.5,0.1364,0.1429,0.1818,0,0.5625,0.3,0.3125,0.4091,0.4,0.3,0.3125,0.375,0.3889,0.1667,0,0.5714,0.5556,0.9167,0.05,0.4375,0.1,0.2222,0.5417
"locus5964",0,0.2,0,0.0455,0,0.4375,0.625,0.0625,0.0455,0,0.8,0,0.5,0,0,0.65,0.0556,0,0.0714,0.1667,0,0,0.05,0.4,0.2,0.0417
"locus5965",0.9545,1,1,1,0.9444,1,1,0.8889,1,0.8333,1,0.9375,1,1,1,1,1,1,1,0.9444,1,1,1,0.85,0.9545,0.875
"locus5966",0,0.3125,0,0,0,0.0417,0.3,0.0556,0.0909,0.0833,0.0909,0,0.05,0.125,0.0417,0.2778,0.1667,0,0,0.1667,0,0,0.05,0,0.0455,0
"locus5967",0.7727,0.8571,0.7778,0.8636,0.1667,0.8182,1,0.8571,0.8333,1,0.3889,0.5625,0.5,0.9286,0.8,0.9545,0.8333,0.3333,0.9286,0.9444,0.8571,0.2727,0.8889,1,0.9,0.1875
"locus5968",0.875,1,1,1,1,1,0.8,1,0.9545,0.9375,1,1,1,1,0.9583,0.8182,0.8333,1,1,0.8889,1,1,1,1,1,1
"locus5969",0.6364,1,0.9,0.9091,0.9444,1,0.5,0.8889,0.9091,0.6429,0.9545,1,1,0.8125,0.8333,0.8125,0.7222,1,0.875,0.7778,1,0.9091,0.95,0.9,0.95,1
"locus5970",0.8125,1,0.8333,0.875,1,1,1,1,0.5625,1,1,1,1,1,0.7273,0.9545,0.6429,1,0.8333,1,0.8,0.4444,0.7,0.7857,0.6667,1
"locus5971",1,0.9375,1,1,1,1,1,0.7143,0.9545,1,0.9091,0.8333,1,1,0.875,1,1,1,0.875,0.9444,0.6429,0.9091,1,0.85,0.9091,0.4375
"locus5972",0.9583,0.9,0.95,0.9545,0.8889,0.9583,0.5,0.9444,0.9091,1,0.7,0.875,0.6111,1,0.9167,0.9,0.8889,1,0.8125,1,1,1,0.95,0.9,1,1
"locus5973",0.6667,0.6,0.625,0.5,0.4167,0.7778,0.9,0.5,0.6,0.7143,0.4545,0.5,0.4375,0.5625,0.5625,0.85,0.375,0.75,0.5625,0.6875,0.4167,0.7273,0.5,0.5,0.8636,0.4167
"locus5974",0.9583,0.875,0.95,1,1,1,1,1,0.8636,1,1,0.875,1,0.875,0.9167,1,0.9444,1,1,1,1,0.7273,0.9,1,1,0.9583
"locus5975",0.5,0.9286,0.5833,0.65,0.9444,0.9167,0.5,0.8571,0.6111,0.75,1,0.8333,0.95,0.75,0.6667,0.5625,0.7857,1,0.5,0.6,0.7,0.6,0.6429,0.6875,0.8333,0.9583
"locus5976",0.4286,0.125,0.5,0.5,0,0,0,0,0.2,0.1667,0,0,0.3125,0.1667,0.3636,0.0455,0.1667,0,0.2143,0.0625,0.75,0.1,0.25,0.3333,0,0.25
"locus5977",0.85,0.5,0.9,0.5,0.5556,0.3889,0.5,0.75,0.9,0.5,0.6667,0.8,0.5,0.8,0.75,0.4286,0.9167,1,0.9167,0.8333,1,0.8182,0.9444,0.7143,0.7778,0.6429
"locus5978",0,0.0625,0,0.0909,0.0556,0.0417,0.6667,0,0.3571,0.125,0.0455,0.0625,0.05,0.0714,0.0833,0.5,0.0556,0,0,0.2,0,0.4375,0.1,0.1,0.0455,0.125
"locus5979",0.9444,0.9167,0.5,0.6429,1,0.9091,1,0.6667,0.5455,1,0.95,0.75,1,0.6,0.4375,1,0.8,0.5,0.3333,0.6667,0.5,0.8889,0.7222,0.5833,0.875,0.8333
"locus5980",0.8636,0.875,0.75,0.9545,1,1,1,1,0.8636,1,1,1,1,0.8125,0.9583,1,1,1,0.875,0.8889,0.9167,1,1,0.85,0.9545,1
"locus5981",0.7727,1,0.7,0.6,1,1,1,1,1,0.5833,0.9091,1,0.95,0.9167,0.8,1,0.8,0.5,1,1,0.9286,1,0.875,0.75,0.85,1
"locus5982",0.5,0.5833,0.7,0.5625,0.7143,0.7222,0.3333,0.625,0.5625,0.4167,0.8889,0.4,0.7222,0.4167,0.5833,0.3571,0.3333,0.3333,0.4286,0.375,0.7,0.4444,0.5,0.5,0.4375,0.5
"locus5983",0.9545,1,0.95,0.65,0.7222,0.9583,1,1,1,0.9375,1,1,0.95,1,0.9583,1,1,1,1,1,1,0.95,0.9167,0.9,1,1
"locus5984",0.9583,1,0.85,1,1,0.8182,1,0.9444,0.9091,1,1,0.8125,1,1,0.9545,1,1,1,0.8125,1,1,1,1,0.95,0.8636,0.9583
"locus5985",0.9583,1,1,1,1,1,1,0.8889,1,1,1,1,0.95,1,1,1,1,1,1,1,1,0.75,0.9,1,1,0.9583
"locus5986",1,1,1,0.8636,1,1,1,1,0.9545,0.9375,1,1,1,1,1,1,0.7143,1,1,0.9444,1,1,1,1,0.8636,0.9583
"locus5987",1,0.9375,0.8,1,1,1,1,1,1,0.9375,0.9545,1,1,0.8125,0.8333,1,1,1,0.875,0.8333,1,1,1,0.8,1,1
"locus5988",0.5625,0.25,0.4375,0.6875,0.3333,0,0.2,0.2857,0.5,0.1429,0.4167,0.5,0.4167,0.4,0.55,0.0714,0.5,0.5,0.4286,0.25,0.5714,0.4,0.5,0.5,0.5,0.1364
"locus5989",0,0,0.15,0,0.625,0.0455,0,0.4167,0.0455,0,0,0,0,0,0.0417,0.0455,0,0,0.125,0,0,0.0455,0,0,0,0.15
"locus5990",0,0.6429,0.3,0.1364,0.25,0.5,0,0.1667,0,0.4,0.0455,0.125,0,0.25,0.2,0,0.1111,0.1667,0.25,0.0556,0.25,0,0.0556,0.1,0.15,0.1818
"locus5991",0.25,0,0,0,0,0,0.1,0,0,0.0625,0.0455,0,0,0,0.0833,0,0.25,0.1667,0,0,0,0.1875,0.2222,0,0.2857,0
"locus5992",0.7273,0.8125,0.8889,1,0.9444,0.8333,1,0.875,0.7,0.7857,0.9545,1,0.95,0.8333,0.9167,1,0.6667,0.75,0.9286,0.8889,0.875,1,0.9,0.7778,0.7222,0.8636
"locus5993",0.9583,1,0.95,1,0.9444,1,1,1,0.9545,1,1,0.9375,1,1,1,1,1,1,0.875,0.9444,0.9167,0.9545,1,1,0.9091,0.9091
"locus5994",0,0.5,0,0,0.1,0.5,0,0,0,0,0.7,0,0.9167,0,0.2083,0.0455,0,0,0,0.1111,0.1429,0,0,0,0.1364,0
"locus5995",0.75,1,0.8333,0.8333,1,1,0.6667,0.8333,0.6875,1,0.8636,0.75,0.9,0.9,0.6818,0.9444,0.8889,0.6667,0.9167,1,0.75,0.8333,1,0.8889,0.7,0.9167
"locus5996",0,0.0625,0.1667,0.0455,0.1111,0.0833,0,0.0556,0.0455,0,0.3333,0,0,0,0.35,0,0.1111,0.1667,0.2143,0,0.0833,0,0,0.25,0,0.0417
"locus5997",0.9583,1,0.75,0.9545,1,0.5,1,0.6667,0.95,0.9375,0.9091,0.8571,1,1,0.625,1,1,0.6667,0.6875,0.8889,0.3333,0.9545,1,0.85,1,0.8889
"locus5998",0.0417,0.0714,0,0.0455,0,0,0,0,0,0.0625,0,0.0625,0,0.125,0,0,0.1,0.1667,0,0,0,0,0,0,0,0
"locus5999",0.3182,0.25,0.4444,0.0556,0.5833,0.2727,1,0.625,0.4375,0.9167,0.8571,0.5833,0.5,0.6429,0.4,0.8636,0.3125,0,0.6429,0.4286,0.5,0.8,0.2,0.75,0.375,0.6667
"locus6000",0.6818,0.5,0.6429,0.625,0.0556,0.125,1,0.1429,0.7,0.6429,0.1,0.4167,0.0556,0.6667,0.4286,1,0.75,0.5,0.5,0.8125,0.1,0.9167,0.8,0.4375,0.5714,0.0833
"locus6001",1,1,0.7778,1,0.9444,0.9167,1,0.8333,1,1,0.9091,0.8,1,0.9286,0.6667,0.9545,0.8889,0.6667,1,1,0.5,0.9545,0.85,0.7778,1,0.9
"locus6002",0,0.0625,0.1,0,0.0556,0.125,0,0.0556,0.2273,0.0625,0,0.0625,0,0,0.2083,0.0455,0,0.1667,0,0.1875,0.0714,0,0,0.1875,0.0455,0.2083
"locus6003",0.9583,1,0.95,1,0.8333,0.8636,1,0.9444,0.8636,1,0.7273,1,0.75,0.9375,1,1,0.9444,1,0.875,0.8889,1,1,0.75,0.7,1,0.9167
"locus6004",0.125,0,0,0,0,0,0.6,0,0.2727,0,0,0,0,0.0625,0,0.0909,0.1111,0,0,0.2222,0,0,0.05,0.05,0.0455,0
"locus6005",0.8333,1,0.95,0.9091,1,1,0.75,1,1,0.875,0.8636,1,1,0.75,1,0.7727,0.8889,1,1,0.9444,0.9286,0.8182,0.95,0.9,0.8889,1
"locus6006",0.875,0.9375,1,1,1,0.9583,1,1,0.9545,1,0.75,1,0.75,1,0.9545,1,1,0.6667,1,1,1,1,1,1,0.9091,0.9545
"locus6007",0.0833,0,0,0,0,0.1667,0,0,0,0,0.0909,0,0,0,0.1364,0,0,0,0.0625,0,0,0.0455,0,0,0.0455,0
"locus6008",1,0.9375,0.9,1,1,1,1,0.8889,1,1,0.9545,0.875,1,1,0.9583,1,1,1,1,0.9444,0.9286,1,1,1,0.9545,0.9583
"locus6009",1,1,0.9,1,1,1,1,0.9444,0.9545,1,1,0.8571,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.8333
"locus6010",0.8333,0.4167,0.35,0.7,0.2778,0.4091,0.8,0.25,0.45,0.625,0.2727,0.6429,0.4444,0.6429,0.4091,0.9545,0.6111,0.5,0.4375,0.6111,0.5,0.95,0.7,0.6111,0.6,0.4167
"locus6011",0.125,0.3571,0.1,0.3182,0.6875,0.6364,0,0.5,0.2273,0.0714,0.55,0.2143,0.6667,0.1875,0.2917,0,0.0556,0.1667,0.0625,0.2222,0,0.0909,0.15,0.3333,0.1,0.45
"locus6012",0.0714,0.0625,0,0.1364,0.0556,0.0417,1,0.0556,0.25,0.0714,0.1364,0.125,0,0.2857,0,0,0.125,0,0.0625,0.2143,0,0,0,0.1,0.0909,0.0417
"locus6013",0.3182,0,0,0.4375,0.1111,0.0417,0,0,0.0909,0.1429,0.0833,0,0.0556,0.1875,0,0,0.2778,0,0,0.0556,0,0.35,0.25,0,0,0.125
"locus6014",0.9167,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.9583,0.9545,0.8333,1,0.9375,1,1,0.9091,0.8,1,0.9545,1
"locus6015",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6111,1,1,1,0.9286,1,1,0.95,0.9545,1
"locus6016",1,1,1,1,0.9375,0.7083,1,0.9444,1,0.9375,0.7778,1,0.65,1,0.9583,1,1,1,1,1,1,1,1,1,0.9545,0.9545
"locus6017",0.35,0.2857,0.5833,0.5,0,0.0909,0.9,0.5,0.5,0.4375,0,0.7,0.1875,0.3,0.4,0.7778,0.2857,0.75,0.5,0.5,0.4,0.5,0.3333,0.5625,0.2143,0.4
"locus6018",1,1,1,1,0.75,0.9545,1,0.7143,0.9545,1,1,1,1,1,0.9583,1,1,1,1,1,0.9167,0.9545,1,0.85,0.8636,0.75
"locus6019",1,1,1,1,1,0.9583,1,1,1,0.875,0.9545,0.9375,1,1,1,1,1,1,1,1,0.9286,1,1,0.95,0.9545,0.9583
"locus6020",0.8,0.9375,1,0.85,1,1,1,1,0.95,1,1,0.9375,1,1,0.9167,0.9545,1,1,0.9375,1,1,0.25,1,1,0.9545,1
"locus6021",0,0,0,0,0,0,0,0,0,0.0625,0.1667,0,0.2222,0,0,0,0,0,0,0,0,0,0.05,0,0,0.0417
"locus6022",0.9583,1,0.85,1,1,1,1,0.8889,0.9091,0.9375,1,0.9375,1,0.9375,0.875,1,1,1,1,1,1,1,1,1,1,1
"locus6023",0.0455,0.5,0.5,0.1875,0.6667,0.4286,0.4,0.3333,0.4375,0.4,0.6111,0.3333,0.5625,0.4,0.4545,0.45,0.2222,0,0.2857,0.1429,0.375,0.05,0.375,0.1875,0.2,0.2857
"locus6024",1,0.875,0.95,0.9545,0.8889,0.75,1,1,1,1,0.6111,1,0.5,1,0.9583,1,1,1,0.9375,1,0.9286,1,1,1,1,1
"locus6025",0.6818,0.8125,0.8333,0.6429,1,0.9583,1,0.8889,0.95,0.75,0.9545,1,1,0.7857,0.85,0.9545,0.6875,0.5,0.6429,0.8125,1,0.4444,0.5,0.8889,0.6875,1
"locus6026",1,1,1,1,0.8333,0.9583,1,0.8333,1,1,1,1,1,1,1,1,1,1,0.9375,1,0.5714,1,1,1,0.7222,0.95
"locus6027",1,0.7143,1,0.8182,1,0.7727,1,0.7857,0.9091,1,0.875,1,0.8125,0.9375,1,1,0.9444,1,1,0.9444,0.8571,1,1,1,1,0.9286
"locus6028",0.6818,1,0.9,0.8333,1,0.9583,0.875,1,0.7727,0.8,0.9091,1,1,0.875,1,0.9444,0.7222,1,1,0.875,1,0.9,0.75,0.85,0.8125,0.9091
"locus6029",0.9167,1,1,1,0.8889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7,0.95,1,1,1
"locus6030",0,0.3333,0.1429,0.1667,0.1111,0.2083,0,0.1667,0,0.1875,0,0.3,0,0.0625,0.15,0,0.2222,0.1667,0.25,0.0556,0,0,0.0625,0.125,0.0455,0.0625
"locus6031",1,0.875,0.95,1,1,0.9167,1,0.8889,0.9545,1,0.9545,0.75,1,1,0.9583,1,1,1,0.75,1,1,1,0.9444,0.95,1,0.9583
"locus6032",0.4545,0.5,0.5,0.5,0.4,0.5,0.1,0.6667,0.5,0.2857,0.2778,0.4167,0.625,0.3333,0.5,0.0909,0.4444,0.5,0.3,0.3333,0.5,0.55,0.35,0.4375,0.5,0.4444
"locus6033",0.1667,0,0.1,0.5625,0.1111,0.125,NA,0.0556,0.0556,0,0.05,0,0.05,0.1429,0,0.0556,0.4167,0,0.125,0,0.0714,0.5,0.2857,0.15,0,0.0909
"locus6034",1,1,0.95,1,1,0.9167,1,0.8571,0.9545,0.9375,1,1,1,1,0.9167,1,1,1,1,1,0.7857,1,1,0.95,0.9545,0.5909
